#Grid-Scan using Optidos
#Timet: 20-06-24-13:54:23
#Unit: Gy
#Duration: 2 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
25.55;28.9;0;0.003838;0;0
25.35;28.9;0;0.003795;0;0
25.15;28.9;0;0.003676;0;0
24.95;28.9;0;0.003456;0;0
24.75;28.9;0;0.0032;0;0
24.55;28.9;0;0.002893;0;0
24.35;28.9;0;0.002591;0;0
24.15;28.9;0;0.002288;0;0
23.95;28.9;0;0.001975;0;0
23.75;28.9;0;0.001692;0;0
23.55;28.9;0;0.001443;0;0
23.35;28.9;0;0.001232;0;0
23.15;28.9;0;0.001028;0;0
23.15;28.9;4;0.000124;2;0
23.35;28.9;4;0.000136;2;0
23.55;28.9;4;0.000149;2;0
23.75;28.9;4;0.000167;2;0
23.95;28.9;4;0.000182;2;0
24.15;28.9;4;0.000189;2;0
24.35;28.9;4;0.000207;1;0
24.55;28.9;4;0.000209;1;0
24.75;28.9;4;0.000222;1;0
24.95;28.9;4;0.000237;1;0
25.15;28.9;4;0.00024;1;0
25.35;28.9;4;0.000242;1;0
25.55;28.9;4;0.000249;1;0
25.75;28.9;4;0.000248;1;0
25.95;28.9;4;0.000246;1;0
26.15;28.9;4;0.000237;1;0
26.35;28.9;4;0.00024;1;0
26.55;28.9;4;0.000222;1;0
26.75;28.9;4;0.000215;1;0
